Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LCSC Part Number
3V3,89.33,66.71,0,TPTP20R,TP20R,
BOOT_BUTTON,48.98,108.95,180,BUTTON_CUSYOMV1,MYBUTTON,
C1,156.92,7.8,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C10,67.46,108.54,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C10_SUPERCAP,96.46,52.09,90,CPH3225A,CAPCP3225X100N,
C1_BAT,124.45,40.23,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C1_BAT1,132.68,54.44,0,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C1_BAT2,127.52,55.47,0,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C2,155.37,7.82,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C2_BAT,136.05,48.66,270,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C3,133.3,39.91,270,100uF,RCL_CT3528,
C4,91.61,29.41,90,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C4_USB,153.47,49.53,180,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C5,27.21,108.49,270,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C5_USB,153.86,48.03,180,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C6,52.13,108.8,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C7,80.99,22.63,0,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C8,93.87,52.08,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C9,6.37,98.96,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
CHANGE_BUTTON,63.96,108.45,180,BUTTON_CUSYOMV1,MYBUTTON,
C_DELAY,51.89,102.73,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
D1,152.48,51.87,0,USBLC6-2SC6Y,SOT95P280X145-6N,
D10,41.63,24.42,90,PGB1010603MR,DIOC1608X36N,
D11,38.63,24.3,90,PGB1010603MR,DIOC1608X36N,
D12,35.63,24.76,90,PGB1010603MR,DIOC1608X36N,
D2,132.11,55.82,180,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D3,86.69,28.37,0,MBR0530,SOD3716X135N,
D4,86.69,26.32,180,MBR0530,SOD3716X135N,
D5,81.44,32.32,180,MBR0530,SOD3716X135N,
D6,12.78,97.87,0,PGB1010603MR,DIOC1608X36N,
D7,89.96,63.82,180,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D8,27.63,26.66,90,PGB1010603MR,DIOC1608X36N,
D9,32.13,25.04,90,PGB1010603MR,DIOC1608X36N,
EPD_3V3,91.35,19.21,0,TPTP20R,TP20R,
EPD_3V3_C,22.88,68.71,0,TPTP20R,TP20R,
EPD_BUSY,95.77,17.79,0,TPTP20R,TP20R,
EPD_C1,92.92,19.84,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C10,83.39,20.07,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C11,82.36,20.29,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C12,81.34,19.95,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C2,90.4,22.68,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C5,89.11,19.75,90,0.1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C6,87.5,19.79,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C7,86.48,19.9,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C8,85.45,20.01,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C9,84.42,20.12,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_CS,10.08,101.71,0,TPTP20R,TP20R,
EPD_DC,10.99,43.79,0,TPTP20R,TP20R,
EPD_RST,100.73,16.21,0,TPTP20R,TP20R,
GHC_LED,122.66,40.25,180,,ADAFRUIT_CHIP-LED0603,
GND,18.67,84.29,0,TPTP20R,TP20R,
GND_1,24.09,85.79,0,TPTP20R,TP20R,
IC1,48.95,102.87,0,BD5229G-TR,SOT95P280X125-5N,
IC4,136.47,54.71,180,XC6220A331MR-G,SOT95P280X120-5N,
INT_RTC,98.18,56.71,0,TPTP20R,TP20R,
J1,85.37,14.24,0,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99,
J2,166.01,54.59,90,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA,
J3,166.88,19.22,90,QWIIC_RIGHT_ANGLE,JST04_1MM_RA,
J4,8.28,88.84,270,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND,
L1,81.47,27.05,0,68uH,IND_4828-WE-TPC_WRE,
MCP73831,128.69,40.11,270,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5,
MISO,2.51,100.79,0,TPTP20R,TP20R,
MOSI,107.43,12.29,0,TPTP20R,TP20R,
PFMF.050.1,152.94,44.8,0,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812,
Q1,141.76,49.11,0,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,
Q2,71.18,14.61,0,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,
Q3,77.59,23.68,0,SI1308EDL-T1-GE3,SOT65P210X110-3N,
R1,18.87,44.75,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R10,27.87,21.33,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1PWRUSB,136.33,58.97,90,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_BAT,124.05,37.95,180,200,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PINH,158.54,7.77,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PINH1,94.46,59.06,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2,125.71,14.07,270,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-PINH,160.24,7.72,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-PINH1,90.07,62.11,180,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-USB,148.63,51.32,270,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-USB1,155.53,53.2,90,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2_BAT,137.05,40.94,270,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R3,94.18,19.91,90,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R4,98.79,17.99,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R5,32.21,21.09,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R6,41.21,20.17,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R7,38.21,20.25,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R8,34.79,20.67,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R9,8.71,98.91,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
RESET_BUTTON,23.97,108.95,180,BUTTON_CUSYOMV1,MYBUTTON,
RX,14.83,67.79,0,TPTP20R,TP20R,
R_BOOT,45.93,108.81,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CAPACITOR,90.65,48.46,180,15,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CHANGE,60.91,108.72,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CL1,74.63,12.44,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_RESET,20.92,108.41,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
SCK,105.35,14.29,0,TPTP20R,TP20R,
SENSOR2,158.09,11.75,90,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N,
SJ1,127.79,14.04,270,,SJ,
TX,11.41,68.79,0,TPTP20R,TP20R,
U1,38.19,56.56,0,W25Q512JVEIQ,SON127P600X800X80-9N,
U2,15.76,56.1,90,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8,
U3,86.6,55.55,270,DS3231SN#,SOIC127P1032X265-16N,
U4,142.38,56.42,0,MAX17048G+T10,SON50P200X200X80-9N,
VBAT,128.25,35.29,0,TPTP20R,TP20R,
VBUS,115.53,39.71,0,TPTP20R,TP20R,
